drug_id,rna_id,drug_name,rna_name,label
1,113,Gemcitabine,miR-138,1
34,77,Sorafenib,miR-126*,1
7,590,Tamoxifen,miR-873,1
1,573,Gemcitabine,miR-7,1
32,613,TRAIL therapy,miR-942,1
1,396,Gemcitabine,miR-4454,1
29,537,Verapamil,miR-605,1
31,220,Chemotherapy,miR-21,1
13,285,Oxaliplatin,miR-30d,1
5,185,Doxorubicin,miR-193b,1
18,76,Vincristine,miR-126,1
29,532,Verapamil,miR-592,1
26,611,Bortezomib,miR-939,1
50,259,PLX4720,miR-27b,1
0,152,Cisplatin,miR-181,1
29,354,Verapamil,miR-374a*,1
33,68,Glucocorticoid,miR-124,1
1,452,Gemcitabine,miR-4787,1
3,103,Imatinib,miR-130b,1
29,203,Verapamil,miR-19b,1
10,186,Paclitaxel,miR-193b*,1
5,515,Doxorubicin,miR-563,1
75,118,Sunitinib,miR-141,1
86,220,Arsenic trioxide,miR-21,1
1,432,Gemcitabine,miR-4685,1
16,254,Docetaxel,miR-26a,1
10,343,Paclitaxel,miR-367,1
9,25,Fluorouracil,UCA1,1
6,33,Gefitinib,let-7b,1
20,314,Mitoxantrone,miR-328,1
13,164,Oxaliplatin,miR-185,1
3,52,Imatinib,miR-10a,1
52,437,5-Fluorouracil,miR-4710,1
29,141,Verapamil,miR-155,1
1,616,Gemcitabine,miR-98,1
37,220,Temozolomide,miR-21,1
64,522,Vinorelbine,miR-582,1
51,535,platinum-based doublet chemotherapy ,miR-598,1
19,600,Etoposide,miR-9,1
5,416,Doxorubicin,miR-453,1
0,260,Cisplatin,miR-27b ,1
0,536,Cisplatin,miR-601,1
3,284,Imatinib,miR-30c,1
9,327,Fluorouracil,miR-34a,1
0,540,Cisplatin,miR-613,1
52,314,5-Fluorouracil,miR-328,1
56,118,10-Hydroxycamptothecin,miR-141,1
45,327,Camptothecin,miR-34a,1
10,336,Paclitaxel,miR-363,1
10,241,Paclitaxel,miR-221,1
3,73,Imatinib,miR-125a,1
0,117,Cisplatin,miR-140-3p,1
16,324,Docetaxel,miR-342,1
3,314,Imatinib,miR-328,1
57,307,FOLFOX Chemotherapy,miR-32,1
0,113,Cisplatin,miR-138,1
50,34,PLX4720,let-7c,1
13,77,Oxaliplatin,miR-126*,1
13,120,Oxaliplatin,miR-141-3p,1
0,330,Cisplatin,miR-34c,1
1,450,Gemcitabine,miR-4758,1
87,148,Irinotecan,miR-17,1
0,259,Cisplatin,miR-27b,1
5,215,Doxorubicin,miR-206,1
98,202,Leucovorin,miR-19a,1
0,215,Cisplatin,miR-206,1
5,106,Doxorubicin,miR-133b,1
79,126,Ribavirin,miR-145,1
10,358,Paclitaxel,miR-377,1
3,268,Imatinib,miR-29b,1
13,523,Oxaliplatin,miR-584,1
10,315,Paclitaxel,miR-330,1
5,65,Doxorubicin,miR-1234,1
13,76,Oxaliplatin,miR-126,1
1,100,Gemcitabine,miR-1307,1
51,259,platinum-based doublet chemotherapy ,miR-27b,1
0,145,Cisplatin,miR-15b,1
13,161,Oxaliplatin,miR-1826,1
44,26,PCI-24781,XIST,1
52,305,5-Fluorouracil,miR-3195,1
0,223,Cisplatin,miR-210,1
7,185,Tamoxifen,miR-193b,1
111,239,10-hydroxycamptothecin,miR-22-3p,1
0,357,Cisplatin,miR-376c,1
5,36,Doxorubicin,let-7e,1
65,71,Prednisone,miR-1256,1
5,141,Doxorubicin,miR-155,1
1,455,Gemcitabine,miR-486,1
8,241,Trastuzumab,miR-221,1
5,235,Doxorubicin,miR-219,1
0,198,Cisplatin,miR-199a-3p,1
5,264,Doxorubicin,miR-298,1
10,263,Paclitaxel,miR-296,1
61,43,Lorlatinib,miR-100-5p,1
18,180,Vincristine,miR-1915,1
92,199,histone deacetylase inhibitor,miR-199a-5p,1
7,379,Tamoxifen,miR-423,1
27,259,Methotrexate,miR-27b,1
17,203,Adriamycin,miR-19b,1
29,525,Verapamil,miR-586,1
17,461,Adriamycin,miR-495,1
84,130,Mitomycin C,miR-146b,1
1,321,Gemcitabine,miR-33a*,1
13,284,Oxaliplatin,miR-30c,1
0,44,Cisplatin,miR-101,1
19,266,Etoposide,miR-29a,1
5,126,Doxorubicin,miR-145,1
76,461,Platinum,miR-495,1
52,218,5-Fluorouracil,miR-20b,1
52,453,5-Fluorouracil,miR-483,1
16,280,Docetaxel,miR-30a,1
13,45,Oxaliplatin,miR-103,1
5,266,Doxorubicin,miR-29a,1
67,220,Cyclophosphamide,miR-21,1
1,102,Gemcitabine,miR-130a-3p,1
57,121,FOLFOX Chemotherapy,miR-142,1
5,412,Doxorubicin,miR-451,1
49,270,Capecitabine,miR-29b-2*,1
5,130,Doxorubicin,miR-146b,1
0,600,Cisplatin,miR-9,1
29,421,Verapamil,miR-455,1
16,392,Docetaxel,miR-431,1
5,380,Doxorubicin,miR-424,1
52,153,5-Fluorouracil,miR-181a,1
29,351,Verapamil,miR-373,1
1,544,Gemcitabine,miR-624*,1
105,220,Hydrogen Peroxide,miR-21,1
29,416,Verapamil,miR-453,1
5,208,Doxorubicin,miR-200c,1
7,315,Tamoxifen,miR-330,1
48,359,Epirubicin,miR-378,1
14,260,Carboplatin,miR-27b ,1
0,212,Cisplatin,miR-204,1
43,220,Curcumin,miR-21,1
0,412,Cisplatin,miR-451,1
1,108,Gemcitabine,miR-1343,1
52,413,5-Fluorouracil,miR-4516,1
16,617,Docetaxel,miR-99a,1
3,143,Imatinib,miR-15a,1
19,49,Etoposide,miR-106b-25,1
52,51,5-Fluorouracil,miR-107,1
6,241,Gefitinib,miR-221,1
54,548,L-asparaginase,miR-629,1
57,379,FOLFOX Chemotherapy,miR-423,1
52,446,5-Fluorouracil,miR-4739,1
34,355,Sorafenib,miR-374b,1
87,150,Irinotecan,miR-17-5p,1
10,261,Paclitaxel,miR-28,1
52,401,5-Fluorouracil,miR-4476,1
52,297,5-Fluorouracil,miR-3173,1
5,359,Doxorubicin,miR-378,1
71,317,Cytarabine,miR-335,1
38,197,Cetuximab,miR-199a,1
13,51,Oxaliplatin,miR-107,1
80,329,pegIFN/RBV therapy,miR-34b,1
0,141,Cisplatin,miR-155,1
0,606,Cisplatin,miR-92a-2*,1
26,582,Bortezomib,miR-762,1
29,130,Verapamil,miR-146b,1
0,112,Cisplatin,miR-137,1
52,388,5-Fluorouracil,miR-4284,1
13,57,Oxaliplatin,miR-1202,1
34,383,Sorafenib,miR-425*,1
0,375,Cisplatin,miR-411,1
52,433,5-Fluorouracil,miR-4687,1
1,372,Gemcitabine,miR-3960,1
27,339,Methotrexate,miR-365,1
29,552,Verapamil,miR-639,1
97,241,Fulvestrant,miR-221,1
0,455,Cisplatin,miR-486,1
16,143,Docetaxel,miR-15a,1
5,490,Doxorubicin,miR-519b,1
5,273,Doxorubicin,miR-301a,1
17,41,Adriamycin,miR-1,1
52,338,5-Fluorouracil,miR-3647,1
52,544,5-Fluorouracil,miR-624*,1
9,5,Fluorouracil,CUDR,1
13,32,Oxaliplatin,let-7a,1
3,453,Imatinib,miR-483,1
0,358,Cisplatin,miR-377,1
74,92,Letrozole,miR-128a,1
50,336,PLX4720,miR-363,1
5,37,Doxorubicin,let-7f,1
18,475,Vincristine,miR-5096,1
10,477,Paclitaxel,miR-513a,1
14,129,Carboplatin,miR-146a,1
1,318,Gemcitabine,miR-338,1
5,170,Doxorubicin,miR-18a,1
73,92,Exemestane,miR-128a,1
13,59,Oxaliplatin,miR-122,1
1,274,Gemcitabine,miR-301b,1
16,585,Docetaxel,miR-767,1
1,445,Gemcitabine,miR-4732,1
1,561,Gemcitabine,miR-658,1
51,188,platinum-based doublet chemotherapy ,miR-195,1
52,101,5-Fluorouracil,miR-130a,1
0,83,Cisplatin,miR-127,1
52,418,5-Fluorouracil,miR-4532,1
52,34,5-Fluorouracil,let-7c,1
64,524,Vinorelbine,miR-585,1
52,172,5-Fluorouracil,miR-18b,1
34,540,Sorafenib,miR-613,1
10,106,Paclitaxel,miR-133b,1
5,587,Doxorubicin,miR-769,1
79,170,Ribavirin,miR-18a,1
19,210,Etoposide,miR-202,1
52,394,5-Fluorouracil,miR-4428,1
0,243,Cisplatin,miR-222,1
7,457,Tamoxifen,miR-489,1
1,391,Gemcitabine,miR-429,1
20,153,Mitoxantrone,miR-181a,1
10,123,Paclitaxel,miR-143*,1
17,157,Adriamycin,miR-181d,1
7,51,Tamoxifen,miR-107,1
29,208,Verapamil,miR-200c,1
1,134,Gemcitabine,miR-149,1
5,456,Doxorubicin,miR-487b,1
1,617,Gemcitabine,miR-99a,1
5,40,Doxorubicin,let-7i,1
9,110,Fluorouracil,miR-135b,1
52,435,5-Fluorouracil,miR-4695,1
18,112,Vincristine,miR-137,1
26,128,Bortezomib,miR-1469,1
9,215,Fluorouracil,miR-206,1
6,9,Gefitinib,HOTAIR,1
1,62,Gemcitabine,miR-1228*,1
5,589,Doxorubicin,miR-802,1
5,312,Doxorubicin,miR-320d,1
10,85,Paclitaxel,miR-1275,1
31,202,Chemotherapy,miR-19a,1
0,12,Cisplatin,LOC285194,1
29,174,Verapamil,miR-190,1
5,176,Doxorubicin,miR-191,1
1,436,Gemcitabine,miR-4707,1
0,535,Cisplatin,miR-598,1
5,169,Doxorubicin,miR-188,1
52,382,5-Fluorouracil,miR-425,1
52,546,5-Fluorouracil,miR-625*,1
5,243,Doxorubicin,miR-222,1
13,207,Oxaliplatin,miR-200b,1
0,379,Cisplatin,miR-423,1
9,213,Fluorouracil,miR-204-5p,1
0,584,Cisplatin,miR-766,1
19,217,Etoposide,miR-20a-5p,1
65,114,Prednisone,miR-138-1*,1
10,237,Paclitaxel,miR-22,1
64,482,Vinorelbine,miR-517c,1
0,320,Cisplatin,miR-33a,1
52,157,5-Fluorouracil,miR-181d,1
1,315,Gemcitabine,miR-330,1
29,496,Verapamil,miR-520b,1
5,284,Doxorubicin,miR-30c,1
57,287,FOLFOX Chemotherapy,miR-30e,1
5,68,Doxorubicin,miR-124,1
19,380,Etoposide,miR-424,1
7,254,Tamoxifen,miR-26a,1
1,164,Gemcitabine,miR-185,1
16,138,Docetaxel,miR-152,1
29,241,Verapamil,miR-221,1
9,134,Fluorouracil,miR-149,1
53,220,Daunorubicin,miR-21,1
83,220,Interferon-alpha,miR-21,1
31,9,Chemotherapy,HOTAIR,1
26,175,Bortezomib,miR-1908,1
13,604,Oxaliplatin,miR-92a,1
10,555,Paclitaxel,miR-647,1
29,206,Verapamil,miR-200a,1
1,423,Gemcitabine,miR-4638,1
91,241,Fludarabine,miR-221,1
5,9,Doxorubicin,HOTAIR,1
1,17,Gemcitabine,MEG3,1
3,145,Imatinib,miR-15b,1
16,251,Docetaxel,miR-24,1
0,197,Cisplatin,miR-199a,1
0,542,Cisplatin,miR-615,1
52,269,5-Fluorouracil,miR-29b-1*,1
5,594,Doxorubicin,miR-877,1
5,462,Doxorubicin,miR-496,1
16,388,Docetaxel,miR-4284,1
0,287,Cisplatin,miR-30e,1
1,427,Gemcitabine,miR-4665,1
1,35,Gemcitabine,let-7d,1
38,259,Cetuximab,miR-27b,1
52,541,5-Fluorouracil,miR-614,1
52,383,5-Fluorouracil,miR-425*,1
7,46,Tamoxifen,miR-105,1
5,188,Doxorubicin,miR-195,1
100,216,Teniposide,miR-20a,1
5,26,Doxorubicin,XIST,1
50,87,PLX4720,miR-128,1
52,133,5-Fluorouracil,miR-148b,1
3,40,Imatinib,let-7i,1
0,355,Cisplatin,miR-374b,1
54,317,L-asparaginase,miR-335,1
29,558,Verapamil,miR-652,1
1,300,Gemcitabine,miR-3180,1
1,187,Gemcitabine,miR-194,1
54,600,L-asparaginase,miR-9,1
14,205,Carboplatin,miR-200,1
1,273,Gemcitabine,miR-301a,1
1,214,Gemcitabine,miR-205,1
1,404,Gemcitabine,miR-4484,1
14,147,Carboplatin,miR-16,1
5,211,Doxorubicin,miR-203,1
75,197,Sunitinib,miR-199a,1
5,228,Doxorubicin,miR-214*,1
10,156,Paclitaxel,miR-181c,1
48,356,Epirubicin,miR-375,1
6,582,Gefitinib,miR-762,1
52,302,5-Fluorouracil,miR-3186,1
31,322,Chemotherapy,miR-33b,1
104,220,Dibenziodolium,miR-21,1
13,234,Oxaliplatin,miR-218,1
52,378,5-Fluorouracil,miR-422a,1
1,442,Gemcitabine,miR-4722,1
54,74,L-asparaginase,miR-125b,1
27,185,Methotrexate,miR-193b,1
39,192,Taxol,miR-197,1
30,69,epirubicin,miR-1246,1
6,265,Gefitinib,miR-299,1
7,221,Tamoxifen,miR-21*,1
1,417,Gemcitabine,miR-4530,1
52,149,5-Fluorouracil,miR-17*,1
0,69,Cisplatin,miR-1246,1
9,203,Fluorouracil,miR-19b,1
18,126,Vincristine,miR-145,1
5,511,Doxorubicin,miR-548a,1
0,164,Cisplatin,miR-185,1
10,142,Paclitaxel,miR-155-5p,1
5,368,Doxorubicin,miR-382,1
1,129,Gemcitabine,miR-146a,1
0,62,Cisplatin,miR-1228*,1
1,541,Gemcitabine,miR-614,1
38,254,Cetuximab,miR-26a,1
18,186,Vincristine,miR-193b*,1
5,598,Doxorubicin,miR-888,1
3,189,Imatinib,miR-196a,1
0,559,Cisplatin,miR-654-5p,1
10,356,Paclitaxel,miR-375,1
1,154,Gemcitabine,miR-181a*,1
84,187,Mitomycin C,miR-194,1
0,482,Cisplatin,miR-517c,1
0,188,Cisplatin,miR-195,1
51,251,platinum-based doublet chemotherapy ,miR-24,1
28,10,Pirarubicin,HULC,1
0,475,Cisplatin,miR-5096,1
26,95,Bortezomib,miR-1290,1
52,40,5-Fluorouracil,let-7i,1
52,406,5-Fluorouracil,miR-4488,1
52,335,5-Fluorouracil,miR-3621,1
7,391,Tamoxifen,miR-429,1
7,620,Tamoxifen,miR-99b*,1
17,243,Adriamycin,miR-222,1
1,430,Gemcitabine,miR-4675,1
75,141,Sunitinib,miR-155,1
52,364,5-Fluorouracil,miR-378f,1
0,484,Cisplatin,miR-518c,1
26,607,Bortezomib,miR-92b,1
76,153,Platinum,miR-181a,1
3,252,Imatinib,miR-25,1
1,429,Gemcitabine,miR-4674,1
5,229,Doxorubicin,miR-215,1
100,220,Teniposide,miR-21,1
93,153,intensive induction chemotherapy based on cytarabine and idarubicine,miR-181a,1
26,306,Bortezomib,miR-3196,1
13,551,Oxaliplatin,miR-638,1
52,505,5-Fluorouracil,miR-532,1
39,19,Taxol,NEAT1,1
55,617,Prednisolone,miR-99a,1
5,66,Doxorubicin,miR-1236,1
17,246,Adriamycin,miR-224,1
1,335,Gemcitabine,miR-3621,1
9,202,Fluorouracil,miR-19a,1
9,55,Fluorouracil,miR-10b,1
52,561,5-Fluorouracil,miR-658,1
3,246,Imatinib,miR-224,1
52,566,5-Fluorouracil,miR-665,1
6,152,Gefitinib,miR-181,1
1,425,Gemcitabine,miR-4646,1
0,126,Cisplatin,miR-145,1
52,449,5-Fluorouracil,miR-4750,1
13,94,Oxaliplatin,miR-129*,1
13,148,Oxaliplatin,miR-17,1
3,313,Imatinib,miR-324,1
1,148,Gemcitabine,miR-17,1
1,91,Gemcitabine,miR-1288,1
57,220,FOLFOX Chemotherapy,miR-21,1
29,315,Verapamil,miR-330,1
52,529,5-Fluorouracil,miR-590,1
1,346,Gemcitabine,miR-3687,1
3,136,Imatinib,miR-150,1
84,143,Mitomycin C,miR-15a,1
13,311,Oxaliplatin,miR-320c,1
1,116,Gemcitabine,miR-140,1
52,377,5-Fluorouracil,miR-421,1
18,494,Vincristine,miR-520,1
0,250,Cisplatin,miR-23b-3p,1
29,139,Verapamil,miR-153,1
5,22,Doxorubicin,SLC25A25-AS1,1
28,184,Pirarubicin,miR-193a-3p,1
1,405,Gemcitabine,miR-4485,1
16,465,Docetaxel,miR-500,1
53,74,Daunorubicin,miR-125b,1
55,42,Prednisolone,miR-100,1
5,162,Doxorubicin,miR-183,1
29,540,Verapamil,miR-613,1
13,572,Oxaliplatin,miR-6886-3p,1
42,245,Erlotinib,miR-223,1
53,617,Daunorubicin,miR-99a,1
52,410,5-Fluorouracil,miR-4508,1
19,163,Etoposide,miR-184,1
13,214,Oxaliplatin,miR-205,1
50,220,PLX4720,miR-21,1
82,268,Cyclopamine,miR-29b,1
1,364,Gemcitabine,miR-378f,1
1,130,Gemcitabine,miR-146b,1
53,42,Daunorubicin,miR-100,1
13,252,Oxaliplatin,miR-25,1
1,128,Gemcitabine,miR-1469,1
19,285,Etoposide,miR-30d,1
19,196,Etoposide,miR-198,1
0,33,Cisplatin,let-7b,1
5,274,Doxorubicin,miR-301b,1
7,547,Tamoxifen,miR-628,1
1,78,Gemcitabine,miR-1260,1
7,152,Tamoxifen,miR-181,1
5,496,Doxorubicin,miR-520b,1
18,548,Vincristine,miR-629,1
29,126,Verapamil,miR-145,1
29,454,Verapamil,miR-485,1
53,600,Daunorubicin,miR-9,1
52,38,5-Fluorouracil,let-7f-1*,1
75,283,Sunitinib,miR-30b*,1
52,216,5-Fluorouracil,miR-20a,1
52,475,5-Fluorouracil,miR-5096,1
39,266,Taxol,miR-29a,1
52,79,5-Fluorouracil,miR-1260b,1
57,223,FOLFOX Chemotherapy,miR-210,1
38,158,Cetuximab,miR-182,1
10,122,Paclitaxel,miR-143,1
77,121,Levetiracetam,miR-142,1
97,243,Fulvestrant,miR-222,1
10,282,Paclitaxel,miR-30b,1
19,169,Etoposide,miR-188,1
51,156,platinum-based doublet chemotherapy ,miR-181c,1
13,36,Oxaliplatin,let-7e,1
29,322,Verapamil,miR-33b,1
5,83,Doxorubicin,miR-127,1
6,604,Gefitinib,miR-92a,1
29,472,Verapamil,miR-505,1
52,274,5-Fluorouracil,miR-301b,1
84,282,Mitomycin C,miR-30b,1
5,271,Doxorubicin,miR-29c,1
17,28,Adriamycin,linc-VLDLR,1
1,191,Gemcitabine,miR-196b,1
10,32,Paclitaxel,let-7a,1
0,72,Cisplatin,miR-1258,1
1,314,Gemcitabine,miR-328,1
38,356,Cetuximab,miR-375,1
9,4,Fluorouracil,CRNDE,1
10,324,Paclitaxel,miR-342,1
19,328,Etoposide,miR-34a-5p,1
18,617,Vincristine,miR-99a,1
10,185,Paclitaxel,miR-193b,1
82,208,Cyclopamine,miR-200c,1
0,564,Cisplatin,miR-663,1
29,482,Verapamil,miR-517c,1
1,176,Gemcitabine,miR-191,1
0,593,Cisplatin,miR-876,1
57,327,FOLFOX Chemotherapy,miR-34a,1
13,599,Oxaliplatin,miR-892b,1
21,6,Nutlin-3a,GAS5,1
16,616,Docetaxel,miR-98,1
29,412,Verapamil,miR-451,1
10,81,Paclitaxel,miR-1265,1
29,505,Verapamil,miR-532,1
29,140,Verapamil,miR-154*,1
0,592,Cisplatin,miR-875,1
0,610,Cisplatin,miR-935,1
22,6,Rapamycin,GAS5,1
52,321,5-Fluorouracil,miR-33a*,1
29,462,Verapamil,miR-496,1
0,202,Cisplatin,miR-19a,1
10,236,Paclitaxel,miR-219-2,1
52,289,5-Fluorouracil,miR-31,1
5,472,Doxorubicin,miR-505,1
29,267,Verapamil,miR-29a*,1
38,211,Cetuximab,miR-203,1
95,258,SIOP treatment protocol,miR-27a,1
18,263,Vincristine,miR-296,1
1,379,Gemcitabine,miR-423,1
29,411,Verapamil,miR-450a,1
10,439,Paclitaxel,miR-4713,1
52,169,5-Fluorouracil,miR-188,1
0,361,Cisplatin,miR-378c,1
5,260,Doxorubicin,miR-27b ,1
50,258,PLX4720,miR-27a,1
52,407,5-Fluorouracil,miR-4492,1
23,173,Sirolimus,miR-19,1
0,573,Cisplatin,miR-7,1
1,234,Gemcitabine,miR-218,1
31,138,Chemotherapy,miR-152,1
1,533,Gemcitabine,miR-593,1
16,258,Docetaxel,miR-27a,1
19,256,Etoposide,miR-26b,1
10,130,Paclitaxel,miR-146b,1
7,92,Tamoxifen,miR-128a,1
13,382,Oxaliplatin,miR-425,1
5,382,Doxorubicin,miR-425,1
1,460,Gemcitabine,miR-494,1
16,287,Docetaxel,miR-30e,1
17,103,Adriamycin,miR-130b,1
0,218,Cisplatin,miR-20b,1
40,147,Dexamethasone,miR-16,1
29,254,Verapamil,miR-26a,1
1,74,Gemcitabine,miR-125b,1
66,337,Paroxetine,miR-363*,1
29,464,Verapamil,miR-499,1
52,419,5-Fluorouracil,miR-4535,1
10,595,Paclitaxel,miR-885,1
31,64,Chemotherapy,miR-1233,1
1,440,Gemcitabine,miR-4716,1
14,131,Carboplatin,miR-146b-5p,1
