drug_id,rna_id,drug_name,rna_name,label
113,241,Dihydrotestosterone,miR-221,1
16,615,Docetaxel,miR-96-5p,0
100,589,Teniposide,miR-802,0
16,141,Docetaxel,miR-155,0
37,22,Temozolomide,SLC25A25-AS1,0
3,233,Imatinib,miR-217,0
68,30,Mafosfamide,Let-7a,0
0,4,Cisplatin,CRNDE,1
9,236,Fluorouracil,miR-219-2,0
112,243,AGRO100,miR-222,1
0,45,Cisplatin,miR-103,0
42,156,Erlotinib,miR-181c,0
52,366,5-Fluorouracil,miR-378i,1
5,142,Doxorubicin,miR-155-5p,1
58,41,Fluoropyrimidine,miR-1,1
7,316,Tamoxifen,miR-331,1
17,9,Adriamycin,HOTAIR,1
3,110,Imatinib,miR-135b,1
5,542,Doxorubicin,miR-615,1
69,475,Retinoic Acid,miR-5096,0
0,39,Cisplatin,let-7g,1
3,284,Imatinib,miR-30c,1
3,189,Imatinib,miR-196a,1
0,164,Cisplatin,miR-185,1
13,568,Oxaliplatin,miR-675,1
0,132,Cisplatin,miR-148a,1
52,594,5-Fluorouracil,miR-877,1
13,155,Oxaliplatin,miR-181b,1
19,87,Etoposide,miR-128,1
18,131,Vincristine,miR-146b-5p,1
3,455,Imatinib,miR-486,1
85,1,Pertuzumab,BCAR4,0
41,588,Ibrutinib,miR-801,0
5,32,Doxorubicin,let-7a,1
5,116,Doxorubicin,miR-140,1
17,217,Adriamycin,miR-20a-5p,0
111,200,10-hydroxycamptothecin,miR-199b,0
7,118,Tamoxifen,miR-141,1
5,14,Doxorubicin,Lnc-VLDLR,1
65,465,Prednisone,miR-500,0
99,66,Euthyrox,miR-1236,0
39,266,Taxol,miR-29a,1
61,316,Lorlatinib,miR-331,0
46,610,Vinblastine,miR-935,0
53,617,Daunorubicin,miR-99a,1
40,329,Dexamethasone,miR-34b,0
52,300,5-Fluorouracil,miR-3180,1
59,323,Vemurafenib,miR-340,0
0,594,Cisplatin,miR-877,1
21,283,Nutlin-3a,miR-30b*,0
13,98,Oxaliplatin,miR-1299,1
0,352,Cisplatin,miR-373*,1
68,79,Mafosfamide,miR-1260b,0
114,217,DAPT,miR-20a-5p,0
71,458,Cytarabine,miR-490,0
59,47,Vemurafenib,miR-106a,0
43,240,Curcumin,miR-220,0
0,196,Cisplatin,miR-198,1
13,99,Oxaliplatin,miR-130,1
7,463,Tamoxifen,miR-497,0
26,328,Bortezomib,miR-34a-5p,0
55,34,Prednisolone,let-7c,1
53,250,Daunorubicin,miR-23b-3p,0
92,336,histone deacetylase inhibitor,miR-363,0
13,332,Oxaliplatin,miR-361,1
56,414,10-Hydroxycamptothecin,miR-452,1
116,33,5-fluorouracil,let-7b,0
72,130,Anastrozole,miR-146b,0
1,420,Gemcitabine,miR-454,1
55,341,Prednisolone,miR-3653,0
44,499,PCI-24781,miR-520d*,0
114,188,DAPT,miR-195,0
52,61,5-Fluorouracil,miR-1228,1
84,187,Mitomycin C,miR-194,1
89,38,Staurosporine,let-7f-1*,0
16,421,Docetaxel,miR-455,1
14,198,Carboplatin,miR-199a-3p,1
55,201,Prednisolone,miR-199b*,1
96,22,Epirubicin hydrochloride,SLC25A25-AS1,0
7,254,Tamoxifen,miR-26a,1
1,294,Gemcitabine,miR-3141,1
17,25,Adriamycin,UCA1,1
76,179,Platinum,miR-1914*,0
55,40,Prednisolone,let-7i,0
13,145,Oxaliplatin,miR-15b,1
5,191,Doxorubicin,miR-196b,1
18,369,Vincristine,miR-383,1
10,292,Paclitaxel,miR-3127,1
105,607,Hydrogen Peroxide,miR-92b,0
42,116,Erlotinib,miR-140,1
13,41,Oxaliplatin,miR-1,1
5,508,Doxorubicin,miR-542,1
1,533,Gemcitabine,miR-593,1
46,448,Vinblastine,miR-4749,0
89,368,Staurosporine,miR-382,0
17,157,Adriamycin,miR-181d,1
29,474,Verapamil,miR-509,1
1,169,Gemcitabine,miR-188,1
1,452,Gemcitabine,miR-4787,1
34,185,Sorafenib,miR-193b,1
3,204,Imatinib,miR-19b-1*,0
103,551,Carmustine,miR-638,0
31,74,Chemotherapy,miR-125b,1
0,203,Cisplatin,miR-19b,1
0,282,Cisplatin,miR-30b,1
17,17,Adriamycin,MEG3,0
27,199,Methotrexate,miR-199a-5p,0
18,153,Vincristine,miR-181a,1
1,273,Gemcitabine,miR-301a,1
29,307,Verapamil,miR-32,1
89,391,Staurosporine,miR-429,0
116,614,5-fluorouracil,miR-96,0
55,133,Prednisolone,miR-148b,0
52,216,5-Fluorouracil,miR-20a,1
71,237,Cytarabine,miR-22,0
19,308,Etoposide,miR-320,1
80,126,pegIFN/RBV therapy,miR-145,1
66,312,Paroxetine,miR-320d,0
100,571,Teniposide,miR-6845-5p,0
52,455,5-Fluorouracil,miR-486,1
99,529,Euthyrox,miR-590,0
87,410,Irinotecan,miR-4508,0
52,614,5-Fluorouracil,miR-96,1
46,256,Vinblastine,miR-26b,0
23,398,Sirolimus,miR-4465,0
37,16,Temozolomide,MALAT1,1
13,2,Oxaliplatin,CASC11,1
9,25,Fluorouracil,UCA1,1
5,287,Doxorubicin,miR-30e,1
13,59,Oxaliplatin,miR-122,1
31,256,Chemotherapy,miR-26b,1
28,183,Pirarubicin,miR-193a,1
18,584,Vincristine,miR-766,1
1,168,Gemcitabine,miR-187*,1
0,150,Cisplatin,miR-17-5p,0
10,167,Paclitaxel,miR-187,1
7,137,Tamoxifen,miR-151,1
0,215,Cisplatin,miR-206,1
13,391,Oxaliplatin,miR-429,1
10,104,Paclitaxel,miR-132,1
29,36,Verapamil,let-7e,0
35,241,Melphalan,miR-221,1
32,42,TRAIL therapy,miR-100,1
0,95,Cisplatin,miR-1290,1
0,33,Cisplatin,let-7b,1
7,183,Tamoxifen,miR-193a,1
19,289,Etoposide,miR-31,1
52,203,5-Fluorouracil,miR-19b,1
0,184,Cisplatin,miR-193a-3p,1
63,503,Cyclosporin A,miR-523,0
86,220,Arsenic trioxide,miR-21,1
13,147,Oxaliplatin,miR-16,1
10,202,Paclitaxel,miR-19a,1
33,476,Glucocorticoid,miR-512,0
29,200,Verapamil,miR-199b,1
18,126,Vincristine,miR-145,1
97,548,Fulvestrant,miR-629,0
29,274,Verapamil,miR-301b,1
1,147,Gemcitabine,miR-16,1
57,562,FOLFOX Chemotherapy,miR-660,1
77,385,Levetiracetam,miR-4258,0
16,207,Docetaxel,miR-200b,1
7,614,Tamoxifen,miR-96,1
13,120,Oxaliplatin,miR-141-3p,1
51,245,platinum-based doublet chemotherapy ,miR-223,0
69,136,Retinoic Acid,miR-150,0
78,431,Valproate,miR-468,1
21,309,Nutlin-3a,miR-3200,0
118,343,Ethanol,miR-367,0
39,258,Taxol,miR-27a,1
1,607,Gemcitabine,miR-92b,1
1,35,Gemcitabine,let-7d,1
31,149,Chemotherapy,miR-17*,0
51,413,platinum-based doublet chemotherapy ,miR-4516,0
52,604,5-Fluorouracil,miR-92a,1
11,225,Propofol,miR-212,0
26,69,Bortezomib,miR-1246,1
108,342,Tomudex,miR-3665,0
46,532,Vinblastine,miR-592,0
1,582,Gemcitabine,miR-762,1
0,9,Cisplatin,HOTAIR,1
84,180,Mitomycin C,miR-1915,1
13,617,Oxaliplatin,miR-99a,1
9,88,Fluorouracil,miR-128-2,1
0,343,Cisplatin,miR-367,0
10,142,Paclitaxel,miR-155-5p,1
120,393,AED therapy,miR-433,0
13,216,Oxaliplatin,miR-20a,1
46,506,Vinblastine,miR-539,0
1,398,Gemcitabine,miR-4465,1
46,191,Vinblastine,miR-196b,0
52,383,5-Fluorouracil,miR-425*,1
59,156,Vemurafenib,miR-181c,0
66,567,Paroxetine,miR-671,1
0,437,Cisplatin,miR-4710,0
1,269,Gemcitabine,miR-29b-1*,1
0,377,Cisplatin,miR-421,1
9,310,Fluorouracil,miR-320a,1
29,139,Verapamil,miR-153,1
52,499,5-Fluorouracil,miR-520d*,1
57,463,FOLFOX Chemotherapy,miR-497,0
29,507,Verapamil,miR-541*,1
29,520,Verapamil,miR-576,1
13,9,Oxaliplatin,HOTAIR,0
30,469,epirubicin,miR-501-5P,0
22,289,Rapamycin,miR-31,0
52,108,5-Fluorouracil,miR-1343,1
1,106,Gemcitabine,miR-133b,0
26,75,Bortezomib,miR-125b-5p,1
107,540,Raltitrexed,miR-613,0
5,263,Doxorubicin,miR-296,1
29,231,Verapamil,miR-216a,1
14,433,Carboplatin,miR-4687,0
71,566,Cytarabine,miR-665,0
32,561,TRAIL therapy,miR-658,0
84,259,Mitomycin C,miR-27b,1
19,461,Etoposide,miR-495,1
18,381,Vincristine,miR-424*,1
59,186,Vemurafenib,miR-193b*,0
24,308,Temsirolimus,miR-320,0
13,32,Oxaliplatin,let-7a,1
21,374,Nutlin-3a,miR-410,0
57,237,FOLFOX Chemotherapy,miR-22,1
0,606,Cisplatin,miR-92a-2*,1
93,96,intensive induction chemotherapy based on cytarabine and idarubicine,miR-1293,0
16,349,Docetaxel,miR-371,1
30,546,epirubicin,miR-625*,0
16,338,Docetaxel,miR-3647,0
8,473,Trastuzumab,miR-506,0
50,475,PLX4720,miR-5096,0
53,235,Daunorubicin,miR-219,0
101,448,Arsenic Trioxide,miR-4749,0
116,609,5-fluorouracil,miR-933,0
6,617,Gefitinib,miR-99a,1
57,220,FOLFOX Chemotherapy,miR-21,1
94,388,Epirubicin HCl,miR-4284,0
48,95,Epirubicin,miR-1290,1
38,199,Cetuximab,miR-199a-5p,1
108,375,Tomudex,miR-411,0
48,565,Epirubicin,miR-663a,0
31,441,Chemotherapy,miR-4721,0
1,372,Gemcitabine,miR-3960,1
0,144,Cisplatin,miR-15a*,0
29,183,Verapamil,miR-193a,1
3,505,Imatinib,miR-532,1
10,181,Paclitaxel,miR-192,1
5,456,Doxorubicin,miR-487b,1
117,84,Hydroxyurea,miR-1273g,0
61,580,Lorlatinib,miR-758,0
29,420,Verapamil,miR-454,1
80,526,pegIFN/RBV therapy,miR-587,0
29,527,Verapamil,miR-588,1
48,135,Epirubicin,miR-149*,0
64,356,Vinorelbine,miR-375,1
27,131,Methotrexate,miR-146b-5p,1
1,271,Gemcitabine,miR-29c,1
115,565,modified ALLIC BFM 2002 protocol,miR-663a,0
1,262,Gemcitabine,miR-2861,1
40,106,Dexamethasone,miR-133b,0
1,397,Gemcitabine,miR-4463,1
58,587,Fluoropyrimidine,miR-769,0
19,210,Etoposide,miR-202,1
36,44,Oxymatrine,miR-101,0
20,236,Mitoxantrone,miR-219-2,0
18,248,Vincristine,miR-23a,1
52,220,5-Fluorouracil,miR-21,1
5,324,Doxorubicin,miR-342,1
9,336,Fluorouracil,miR-363,1
5,138,Doxorubicin,miR-152,1
36,330,Oxymatrine,miR-34c,0
10,214,Paclitaxel,miR-205,1
50,617,PLX4720,miR-99a,1
52,256,5-Fluorouracil,miR-26b,1
75,125,Sunitinib,miR-144-3p,1
116,182,5-fluorouracil,miR-192*,0
87,179,Irinotecan,miR-1914*,0
0,54,Cisplatin,miR-10a*,0
10,218,Paclitaxel,miR-20b,1
51,316,platinum-based doublet chemotherapy ,miR-331,1
96,434,Epirubicin hydrochloride,miR-4689,0
10,237,Paclitaxel,miR-22,1
52,471,5-Fluorouracil,miR-503,1
5,356,Doxorubicin,miR-375,1
0,32,Cisplatin,let-7a,1
27,368,Methotrexate,miR-382,1
5,121,Doxorubicin,miR-142,1
18,243,Vincristine,miR-222,1
6,173,Gefitinib,miR-19,0
45,477,Camptothecin,miR-513a,0
0,455,Cisplatin,miR-486,1
29,129,Verapamil,miR-146a,1
29,325,Verapamil,miR-345,1
0,422,Cisplatin,miR-455-3p,1
6,16,Gefitinib,MALAT1,1
96,543,Epirubicin hydrochloride,miR-618,0
85,384,Pertuzumab,miR-4257,0
115,330,modified ALLIC BFM 2002 protocol,miR-34c,0
29,391,Verapamil,miR-429,1
52,133,5-Fluorouracil,miR-148b,1
16,46,Docetaxel,miR-105,1
0,211,Cisplatin,miR-203,1
39,29,Taxol,Let-7,1
15,367,Tetraplatin,miR-381,0
9,552,Fluorouracil,miR-639,0
74,172,Letrozole,miR-18b,0
70,547,Rituximab,miR-628,0
17,134,Adriamycin,miR-149,1
53,201,Daunorubicin,miR-199b*,1
64,574,Vinorelbine,miR-7-1*,0
26,160,Bortezomib,miR-1825,0
11,314,Propofol,miR-328,0
18,18,Vincristine,MRUL,1
52,47,5-Fluorouracil,miR-106a,1
0,136,Cisplatin,miR-150,1
83,17,Interferon-alpha,MEG3,0
29,556,Verapamil,miR-649,1
84,138,Mitomycin C,miR-152,0
99,616,Euthyrox,miR-98,0
107,520,Raltitrexed,miR-576,0
5,343,Doxorubicin,miR-367,1
9,63,Fluorouracil,miR-1229-5p,1
65,508,Prednisone,miR-542,0
55,362,Prednisolone,miR-378d,0
27,217,Methotrexate,miR-20a-5p,0
10,273,Paclitaxel,miR-301a,1
18,246,Vincristine,miR-224,1
1,460,Gemcitabine,miR-494,1
70,356,Rituximab,miR-375,0
92,291,histone deacetylase inhibitor,miR-3126,0
52,328,5-Fluorouracil,miR-34a-5p,0
66,134,Paroxetine,miR-149,0
1,195,Gemcitabine,miR-1976,1
75,461,Sunitinib,miR-495,0
1,62,Gemcitabine,miR-1228*,1
1,157,Gemcitabine,miR-181d,1
31,9,Chemotherapy,HOTAIR,1
9,589,Fluorouracil,miR-802,0
5,110,Doxorubicin,miR-135b,1
55,513,Prednisolone,miR-555,0
62,351,Colchicine,miR-373,0
18,34,Vincristine,let-7c,1
53,507,Daunorubicin,miR-541*,0
80,394,pegIFN/RBV therapy,miR-4428,0
7,332,Tamoxifen,miR-361,1
60,378,Crizotinib,miR-422a,0
5,144,Doxorubicin,miR-15a*,1
39,213,Taxol,miR-204-5p,0
13,150,Oxaliplatin,miR-17-5p,1
57,468,FOLFOX Chemotherapy,miR-501,1
55,77,Prednisolone,miR-126*,1
13,241,Oxaliplatin,miR-221,1
3,137,Imatinib,miR-151,1
83,587,Interferon-alpha,miR-769,0
71,518,Cytarabine,miR-571,0
111,499,10-hydroxycamptothecin,miR-520d*,0
29,536,Verapamil,miR-601,1
10,103,Paclitaxel,miR-130b,1
24,495,Temsirolimus,miR-520a,0
14,129,Carboplatin,miR-146a,1
46,379,Vinblastine,miR-423,0
66,34,Paroxetine,let-7c,0
92,27,histone deacetylase inhibitor,XLOC_006753,0
67,489,Cyclophosphamide,miR-519a,0
105,19,Hydrogen Peroxide,NEAT1,0
1,612,Gemcitabine,miR-940,1
29,206,Verapamil,miR-200a,1
52,229,5-Fluorouracil,miR-215,1
5,151,Doxorubicin,miR-17-92,1
54,201,L-asparaginase,miR-199b*,1
1,327,Gemcitabine,miR-34a,1
26,318,Bortezomib,miR-338,0
16,181,Docetaxel,miR-192,1
5,122,Doxorubicin,miR-143,1
66,285,Paroxetine,miR-30d,1
72,76,Anastrozole,miR-126,0
5,33,Doxorubicin,let-7b,0
112,65,AGRO100,miR-1234,0
33,128,Glucocorticoid,miR-1469,0
92,507,histone deacetylase inhibitor,miR-541*,0
56,524,10-Hydroxycamptothecin,miR-585,0
56,518,10-Hydroxycamptothecin,miR-571,0
5,464,Doxorubicin,miR-499,1
93,599,intensive induction chemotherapy based on cytarabine and idarubicine,miR-892b,0
94,39,Epirubicin HCl,let-7g,0
19,415,Etoposide,miR-4521,0
17,239,Adriamycin,miR-22-3p,1
52,434,5-Fluorouracil,miR-4689,1
98,285,Leucovorin,miR-30d,0
106,477,Pingyangmycin,miR-513a,0
76,542,Platinum,miR-615,0
98,28,Leucovorin,linc-VLDLR,0
38,203,Cetuximab,miR-19b,1
23,94,Sirolimus,miR-129*,0
95,87,SIOP treatment protocol,miR-128,0
0,551,Cisplatin,miR-638,1
52,333,5-Fluorouracil,miR-3619,1
78,453,Valproate,miR-483,0
56,391,10-Hydroxycamptothecin,miR-429,1
5,527,Doxorubicin,miR-588,1
3,25,Imatinib,UCA1,1
87,135,Irinotecan,miR-149*,0
24,261,Temsirolimus,miR-28,0
7,485,Tamoxifen,miR-518e*,1
7,76,Tamoxifen,miR-126,1
14,93,Carboplatin,miR-129,0
29,553,Verapamil,miR-640,0
0,530,Cisplatin,miR-590-5p,1
39,217,Taxol,miR-20a-5p,0
48,31,Epirubicin,hsa-1274A,1
33,387,Glucocorticoid,miR-4279,0
52,546,5-Fluorouracil,miR-625*,1
80,311,pegIFN/RBV therapy,miR-320c,0
57,339,FOLFOX Chemotherapy,miR-365,1
16,356,Docetaxel,miR-375,1
0,224,Cisplatin,miR-211,1
69,145,Retinoic Acid,miR-15b,0
29,500,Verapamil,miR-520g,1
23,404,Sirolimus,miR-4484,0
52,448,5-Fluorouracil,miR-4749,1
87,246,Irinotecan,miR-224,0
79,434,Ribavirin,miR-4689,0
5,538,Doxorubicin,miR-606,1
71,48,Cytarabine,miR-106b,0
50,129,PLX4720,miR-146a,1
10,49,Paclitaxel,miR-106b-25,1
29,290,Verapamil,miR-31*,1
46,108,Vinblastine,miR-1343,0
75,2,Sunitinib,CASC11,0
39,73,Taxol,miR-125a,0
72,302,Anastrozole,miR-3186,0
117,423,Hydroxyurea,miR-4638,0
97,530,Fulvestrant,miR-590-5p,0
38,146,Cetuximab,miR-15b*,0
29,538,Verapamil,miR-606,1
0,223,Cisplatin,miR-210,1
10,7,Paclitaxel,GIHCG,0
13,66,Oxaliplatin,miR-1236,1
103,73,Carmustine,miR-125a,0
16,268,Docetaxel,miR-29b,0
1,583,Gemcitabine,miR-765,1
94,232,Epirubicin HCl,miR-216b,0
103,220,Carmustine,miR-21,1
52,441,5-Fluorouracil,miR-4721,1
0,502,Cisplatin,miR-522,1
71,105,Cytarabine,miR-133a,0
26,175,Bortezomib,miR-1908,1
52,186,5-Fluorouracil,miR-193b*,1
31,148,Chemotherapy,miR-17,1
29,343,Verapamil,miR-367,1
16,422,Docetaxel,miR-455-3p,1
37,428,Temozolomide,miR-4669,0
9,120,Fluorouracil,miR-141-3p,1
15,220,Tetraplatin,miR-21,0
29,278,Verapamil,miR-302c*,1
114,192,DAPT,miR-197,0
18,202,Vincristine,miR-19a,1
17,317,Adriamycin,miR-335,1
1,451,Gemcitabine,miR-4783,1
110,289,Pemetrexed,miR-31,0
13,619,Oxaliplatin,miR-99b,1
0,121,Cisplatin,miR-142,0
16,392,Docetaxel,miR-431,1
18,256,Vincristine,miR-26b,1
65,21,Prednisone,ROR1-AS1,0
10,388,Paclitaxel,miR-4284,0
66,257,Paroxetine,miR-275,0
1,102,Gemcitabine,miR-130a-3p,1
0,75,Cisplatin,miR-125b-5p,0
82,327,Cyclopamine,miR-34a,1
8,444,Trastuzumab,miR-4725,0
1,202,Gemcitabine,miR-19a,1
29,604,Verapamil,miR-92a,1
27,608,Methotrexate,miR-93,0
19,615,Etoposide,miR-96-5p,0
14,175,Carboplatin,miR-1908,1
64,316,Vinorelbine,miR-331,0
5,507,Doxorubicin,miR-541*,1
5,40,Doxorubicin,let-7i,1
9,559,Fluorouracil,miR-654-5p,1
32,572,TRAIL therapy,miR-6886-3p,0
0,368,Cisplatin,miR-382,1
45,18,Camptothecin,MRUL,0
10,555,Paclitaxel,miR-647,1
8,508,Trastuzumab,miR-542,0
86,95,Arsenic trioxide,miR-1290,0
5,76,Doxorubicin,miR-126,1
50,378,PLX4720,miR-422a,0
50,81,PLX4720,miR-1265,0
15,232,Tetraplatin,miR-216b,0
27,208,Methotrexate,miR-200c,1
118,89,Ethanol,miR-1280,0
80,43,pegIFN/RBV therapy,miR-100-5p,0
16,616,Docetaxel,miR-98,1
110,237,Pemetrexed,miR-22,1
100,526,Teniposide,miR-587,0
76,616,Platinum,miR-98,0
66,373,Paroxetine,miR-409,0
79,386,Ribavirin,miR-4261,0
77,40,Levetiracetam,let-7i,0
6,506,Gefitinib,miR-539,0
15,433,Tetraplatin,miR-4687,0
43,105,Curcumin,miR-133a,0
61,455,Lorlatinib,miR-486,0
12,10,Antioestrogens,HULC,0
95,183,SIOP treatment protocol,miR-193a,1
92,548,histone deacetylase inhibitor,miR-629,0
3,339,Imatinib,miR-365,1
6,124,Gefitinib,miR-144,0
52,274,5-Fluorouracil,miR-301b,1
5,219,Doxorubicin,miR-20b*,1
52,466,5-Fluorouracil,miR-500a,1
34,2,Sorafenib,CASC11,0
5,378,Doxorubicin,miR-422a,1
51,314,platinum-based doublet chemotherapy ,miR-328,1
1,25,Gemcitabine,UCA1,1
58,448,Fluoropyrimidine,miR-4749,0
83,234,Interferon-alpha,miR-218,0
0,254,Cisplatin,miR-26a,1
21,164,Nutlin-3a,miR-185,0
77,91,Levetiracetam,miR-1288,0
52,6,5-Fluorouracil,GAS5,0
93,336,intensive induction chemotherapy based on cytarabine and idarubicine,miR-363,1
42,328,Erlotinib,miR-34a-5p,0
100,358,Teniposide,miR-377,0
39,75,Taxol,miR-125b-5p,0
52,379,5-Fluorouracil,miR-423,1
16,388,Docetaxel,miR-4284,1
75,183,Sunitinib,miR-193a,1
0,412,Cisplatin,miR-451,1
56,128,10-Hydroxycamptothecin,miR-1469,0
106,559,Pingyangmycin,miR-654-5p,0
0,250,Cisplatin,miR-23b-3p,1
5,494,Doxorubicin,miR-520,1
1,160,Gemcitabine,miR-1825,1
99,385,Euthyrox,miR-4258,0
0,320,Cisplatin,miR-33a,1
19,488,Etoposide,miR-519,1
57,241,FOLFOX Chemotherapy,miR-221,1
70,437,Rituximab,miR-4710,0
17,39,Adriamycin,let-7g,0
14,428,Carboplatin,miR-4669,0
13,58,Oxaliplatin,miR-1207,1
22,561,Rapamycin,miR-658,0
39,149,Taxol,miR-17*,0
119,598,chemotherapy,miR-888,0
46,15,Vinblastine,MACC1-AS1,0
17,213,Adriamycin,miR-204-5p,0
0,353,Cisplatin,miR-374a,1
9,456,Fluorouracil,miR-487b,0
30,225,epirubicin,miR-212,0
50,32,PLX4720,let-7a,1
8,8,Trastuzumab,H19,1
92,465,histone deacetylase inhibitor,miR-500,0
5,166,Doxorubicin,miR-186*,1
5,308,Doxorubicin,miR-320,1
0,35,Cisplatin,let-7d,1
34,77,Sorafenib,miR-126*,1
50,385,PLX4720,miR-4258,0
63,318,Cyclosporin A,miR-338,0
5,557,Doxorubicin,miR-651,1
18,313,Vincristine,miR-324,0
5,227,Doxorubicin,miR-214,1
0,330,Cisplatin,miR-34c,1
9,575,Fluorouracil,miR-7-5p,0
108,301,Tomudex,miR-3184,0
16,312,Docetaxel,miR-320d,1
13,87,Oxaliplatin,miR-128,1
13,72,Oxaliplatin,miR-1258,1
1,78,Gemcitabine,miR-1260,1
83,135,Interferon-alpha,miR-149*,0
1,567,Gemcitabine,miR-671,1
43,90,Curcumin,miR-1285,0
81,319,Dichloroacetate,miR-339,0
116,359,5-fluorouracil,miR-378,0
109,430,Lapatinib,miR-4675,0
0,214,Cisplatin,miR-205,1
88,266,Selumetinib,miR-29a,0
52,79,5-Fluorouracil,miR-1260b,1
1,175,Gemcitabine,miR-1908,1
55,319,Prednisolone,miR-339,0
64,53,Vinorelbine,miR-10a ,1
81,152,Dichloroacetate,miR-181,0
95,392,SIOP treatment protocol,miR-431,0
84,559,Mitomycin C,miR-654-5p,0
76,48,Platinum,miR-106b,0
5,606,Doxorubicin,miR-92a-2*,0
37,349,Temozolomide,miR-371,0
52,446,5-Fluorouracil,miR-4739,1
23,13,Sirolimus,LUCAT1,0
94,33,Epirubicin HCl,let-7b,0
52,195,5-Fluorouracil,miR-1976,1
18,317,Vincristine,miR-335,1
64,493,Vinorelbine,miR-519e*,1
59,92,Vemurafenib,miR-128a,0
